gpkg_fid,Name,Alt Name,Description,Canyon Region,Quality (1-10),Longest Abseil (m),Num Abseils,Technical Difficulty (B/BG/I/A),Remoteness/Accessbility (VEA/EA/M/R/VR),Distance,Flow Accumulation,Wetsuit Reccomendation (N/R/SR),Time,Source,Source Link,Image Path,long,lat
32,Bungonia Main,,,,,,,,,,,,,,,,150.0005594,-34.8011128
33,Lady Northcote,,,,,,,,,,,,,,,,148.2733364,-36.3936127
34,Tuross Falls Canyon,,,,,,,,,,,,,,,,149.5205594,-36.2241688
35,Waterfall Creek (Brindabella),,,,,,,,,,,,,,,,148.7566704,-35.2380578
36,Bindook Chasm,,,,,,,,,,,,,,,,150.0852814,-34.1775018
37,Fordham,,,,,,,,,,,,,,,,150.0450034,-34.8436128
38,Mares Forest Creek,,,,,,,,,,,,,,,,149.9502814,-34.3088908
39,Sunken Treasure,,,,,,,,,,,,,,,,148.3441704,-36.0105578
40,Talbingo Rift,,,,,,,,,,,,,,,,148.3313924,-35.6158348
41,Tin Mine falls,,,,,,,,,,,,,,,,148.2361144,-36.6766687
61,Wounded Knee Canyon,,,,,,,,,,,,,,,,150.5376034,-33.2043018
62,Box (Corrongooba) Canyon,,,,,,,,,,,,,,,,150.1158034,-32.5972018
76,Alcatraz Canyon,,,,,,,,,,,,,,,,150.2396034,-33.3447018
86,Dargans Creek Canyon,,,,,,,,,,,,,,,,150.2511034,-33.4862018
107,Ashcroft Ravine,,,,,,,,,,,,,,,,150.3873034,-33.6842018
108,Empress Canyon,,,,,,,,,,,,,,,,150.3625034,-33.7200018
146,Hellgate Canyon,,,,,,,,,,,,,,,,150.0929034,-33.8161018
147,Jenolan Canyon,,,,,,,,,,,,,,,,150.1655034,-33.8062018
160,Kowmung Gorge,,,,,,,,,,,,,,,,149.9869034,-33.9858018
161,Box Creek Canyon,,,,,,,,,,,,,,,,149.9970034,-33.9452018
201,Coricudgy Creek (RJ),,,,,,,,,,,,,,,,150.3466794,-32.7956478
202,Pinnacle Creek (RJ),,,,,,,,,,,,,,,,150.3495854,-32.7533298
216,Minotaur Lair Canyon (RJ),,,,,,,,,,,,,,,,150.2310874,-33.2011228
249,River Caves,,,,,,,,,,,,,,,,150.3024993,-33.3166362
263,Waterfall Creek,,,,,,,,,,,,,,,,150.3894197,-33.7853396
264,Great Uncle George Canyon,,,,,,,,,,,,,,,,150.3919831,-33.7387915
265,Cascade Falls,,,,,,,,,,,,,,,,150.6733897,-34.5646632
